task_id,train_accuracy,train_loss,valid_accuracy,valid_loss,test_accuracy,test_loss,best_epoch,total_epochs,time_secs,accuracy_gain,loss_improvement
A_64,0.835475564,0.459702373,0.780373812,0.593189895,0.800233662,0.578863144,12,19,366,,
A_128,0.831814289,0.459782302,0.787616849,0.590119898,0.79789722,0.584807396,16,23,394,,
A_192,0.839682162,0.444419742,0.790654182,0.58536917,0.800700963,0.58575666,22,29,500,,
A_256,0.841395974,0.436013341,0.794626176,0.584355414,0.800467312,0.578421593,27,34,560,,
B_0.0025,0.856975913,0.405366063,0.789719641,0.590593636,0.803738296,0.584082723,20,27,404,,
B_0.005,0.842408657,0.439728975,0.789719641,0.581039608,0.804439247,0.577234447,23,30,441,,
B_0.0075,0.83111316,0.468439668,0.790186942,0.58034277,0.801401854,0.582131028,23,30,447,,
B_0.01,0.848718524,0.422900349,0.792990625,0.578087091,0.801401854,0.584828079,34,41,598,,
C_convnext_tiny,0.867492378,0.384776682,0.789252341,0.601429582,0.795794368,0.58344698,35,42,1809,,
C_convnext_base,0.898418605,0.302321315,0.83714956,0.461518705,0.843691587,0.462474704,29,36,4042,,
C_efficientnetb0,0.832515359,0.468311995,0.790887833,0.582146049,0.797429919,0.584872961,24,31,515,,
C_efficientnetv2-b0,0.836176693,0.459012598,0.793224275,0.569960117,0.81705606,0.54887104,30,31,447,,
D_tuned,0.83629632,0.460196853,0.81752336,0.514192104,0.824766338,0.500176907,1,1,328,0.007710278,0.048694134
E,0.903592587,0.323254466,0.792056084,0.576289237,0.809345782,0.573151946,21,28,3770,-0.015420556,-0.072975039
F,0.902508378,0.321156025,0.794158876,0.569325089,0.812383175,0.568971455,23,29,2320,0.003037393,0.004180491
G,0.906520188,0.319251955,0.792523384,0.579119205,0.80794394,0.564612091,24,31,464,-0.004439235,0.004359365
H,0.889849663,0.36068368,0.785046756,0.578336239,0.811214924,0.569706261,20,27,357,0.003270984,-0.005094171
I,0.836020887,0.459811687,0.792056084,0.566408753,0.815186918,0.551584482,24,31,406,0.003971994,0.018121779
J,0.86351949,0.386742622,0.797429919,0.568206966,0.814719617,0.549076021,34,41,504,-0.0004673,0.002508461
K,0.861494124,0.403890461,0.801168203,0.558299601,0.818925261,0.535763443,37,44,527,0.004205644,0.013312578
L,0.612370491,1.197801232,0.616355121,1.191553235,0.621261656,1.213282824,1,5,454,-0.197663605,-0.677519381
M_tuned,0.870803118,0.361912459,0.828738332,0.517966807,0.834112167,0.496133059,1,1,312,0.009345829,0.004043847
N,0.919529498,0.27004388,0.860280395,0.418297976,0.86565423,0.413254529,1,8,1042,0.031542063,0.08287853
